ccn,report_dat,shift,method,offense,block,xblock,yblock,ward,anc,district,psa,neighborho,block_grou,census_tra,voting_pre,latitude,longitude,start_date,end_date,objectid,octo_recor
12001296,2012-01-03T18:38:00.000Z,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,5300 - 5399 BLOCK OF E STREET SE,406453,134892,7,7E,6,604,Cluster 33,009905 3,9905.0,Precinct 105,38.8818397497847,-76.9256274969808,2012-01-03T18:37:00.000Z,2012-01-03T18:39:00.000Z,312644224,12001296-01
12001304,2012-01-03T19:08:00.000Z,EVENING,OTHERS,ROBBERY,1600 - 1699 BLOCK OF G STREET SE,401606,134825,6,6B,1,107,Cluster 26,006802 2,6802.0,Precinct 91,38.881258400750895,-76.9814905851067,2012-01-03T19:05:00.000Z,2012-01-03T19:08:00.000Z,312644225,12001304-01
12001305,2012-01-03T19:03:00.000Z,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,396559,137255,2,2B,2,207,Cluster 6,010700 1,10700.0,Precinct 17,38.9031434735571,-77.0396702609364,2012-01-03T13:00:00.000Z,2012-01-03T19:03:00.000Z,312644226,12001305-01
11190860,2012-01-01T00:00:00.000Z,MIDNIGHT,OTHERS,HOMICIDE,4200 - 4399 BLOCK OF HUNT PLACE NE,405127,136964,7,7D,6,602,Cluster 30,007803 1,7803.0,Precinct 99,38.900513825587,-76.9408945254526,2011-12-31T07:34:00.000Z,2011-12-31T07:34:00.000Z,312644493,11190860-01
12000005,2012-01-01T00:10:00.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,3200 - 3299 BLOCK OF WARDER STREET NW,398269,140322,1,1A,4,409,Cluster 2,003200 3,3200.0,Precinct 38,38.9307770536566,-77.0199639153386,2011-12-31T23:00:00.000Z,2011-12-31T23:45:00.000Z,312644797,12000005-01
12000041,2012-01-01T00:58:00.000Z,MIDNIGHT,KNIFE,ROBBERY,1900 - 1999 BLOCK OF KENDALL STREET NE,401112,138391,5,5D,5,506,Cluster 23,008803 1,8803.0,Precinct 76,38.913382985199,-76.98717824404899,2012-01-01T12:10:00.000Z,2012-01-01T12:30:00.000Z,312644799,12000041-01
12000056,2012-01-01T00:20:00.000Z,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,1000 - 1099 BLOCK OF 1ST STREET SE,399489,134459,6,6D,1,106,Cluster 27,007200 1,7200.0,Precinct 131,38.8779626479353,-77.005889087237,2012-01-01T00:15:00.000Z,2012-01-01T00:20:00.000Z,312644800,12000056-01
12000064,2012-01-01T01:11:00.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,900  - 999 BLOCK OF SHEPHERD STREET NW,397725,141317,4,4C,4,404,Cluster 18,002502 1,2502.0,Precinct 47,38.9397390715533,-77.0262412575881,2011-12-31T20:30:00.000Z,2012-01-01T00:30:00.000Z,312644801,12000064-01
12000066,2012-01-01T01:00:00.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,500 - 699 BLOCK OF KENYON STREET NW,398127,140238,1,1A,4,409,Cluster 2,003200 4,3200.0,Precinct 38,38.930020064574705,-77.0216013960196,2011-12-31T23:30:00.000Z,2012-01-01T01:00:00.000Z,312644802,12000066-01
12000079,2012-01-01T01:18:00.000Z,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,1222 - 1299 BLOCK OF 1ST STREET NE,399489,137664,6,6C,5,501,Cluster 25,010600 2,10600.0,Precinct 83,38.906834475497504,-77.0058914709984,2012-01-01T01:00:00.000Z,2012-01-01T01:18:00.000Z,312644803,12000079-01
12000081,2012-01-01T01:44:00.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,15TH STREET SE AND EAST CAPITOL STREET,401418,135773,6,6A,1,108,Cluster 26,006700 1,6700.0,Precinct 88,38.8897986695776,-76.9836553598592,2011-12-31T20:00:00.000Z,2012-01-01T00:20:00.000Z,312644804,12000081-01
12000093,2012-01-01T01:56:00.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214,137753,5,5E,1,102,Cluster 21,004600 1,4600.0,Precinct 19,38.907636015455,-77.0090621296415,2011-12-31T23:00:00.000Z,2012-01-01T01:30:00.000Z,312644879,12000093-01
12000095,2012-01-01T02:03:00.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214,137753,5,5E,1,102,Cluster 21,004600 1,4600.0,Precinct 19,38.907636015455,-77.0090621296415,2012-01-01T01:00:00.000Z,2012-01-01T01:30:00.000Z,312644880,12000095-01
12000103,2012-01-01T00:42:00.000Z,MIDNIGHT,OTHERS,ROBBERY,893 - 1099 BLOCK OF BELLEVUE STREET SE,400938,129376,8,8E,7,706,Cluster 39,009700 1,9700.0,Precinct 121,38.8321724571772,-76.98919682707779,2011-12-31T18:45:00.000Z,2012-01-01T00:42:00.000Z,312644881,12000103-01
12000118,2012-01-01T00:43:00.000Z,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1100 - 1199 BLOCK OF 4TH STREET NE,399950,137425,6,6C,5,501,Cluster 25,010600 2,10600.0,Precinct 83,38.9046816271741,-77.0005764474736,2012-01-01T00:43:00.000Z,2012-01-01T00:45:00.000Z,312644882,12000118-01
12000161,2012-01-01T03:36:00.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF F STREET NW,397834,136610,2,2C,2,209,Cluster 8,005800 1,5800.0,Precinct 129,38.897337149317295,-77.02496913392551,2012-01-01T03:00:00.000Z,2012-01-01T03:05:00.000Z,312644884,12000161-01
12000164,2012-01-01T03:24:00.000Z,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,2141 - 2399 BLOCK OF QUEENS CHAPEL ROAD NE,402288,139218,5,5C,5,505,Cluster 22,011100 1,11100.0,Precinct 72,38.9208305994585,-76.97361578988941,2012-01-01T03:25:00.000Z,2012-01-01T03:25:00.000Z,312644885,12000164-01
12000179,2012-01-01T03:00:00.000Z,MIDNIGHT,OTHERS,ROBBERY,3200 3214  BLOCK OF 15TH PLACE SE,401523,131317,8,8E,7,704,Cluster 38,007404 2,7404.0,Precinct 117,38.8496570381714,-76.9824549442088,2012-01-01T02:00:00.000Z,2012-01-01T02:00:00.000Z,312644886,12000179-01
12000183,2012-01-01T03:43:00.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF 14TH STREET NW,397228,137931,2,2F,2,208,Cluster 7,005201 3,5201.0,Precinct 16,38.90923548104,-77.0319602890047,2011-12-31T22:35:00.000Z,2012-01-01T03:15:00.000Z,312644887,12000183-01
12000184,2012-01-01T02:01:00.000Z,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,JEFFERSON PLACE NW AND CONNECTICUT AVENUE NW,396392,137623,2,2B,2,208,Cluster 6,010700 2,10700.0,Precinct 17,38.9064578766526,-77.0415974869923,2012-01-01T01:55:00.000Z,2012-01-01T02:01:00.000Z,312644888,12000184-01
12000187,2012-01-01T03:19:00.000Z,MIDNIGHT,OTHERS,BURGLARY,3400 - 3499 BLOCK OF 23RD STREET SE,402462,130962,8,8B,7,704,Cluster 38,007409 2,7409.0,Precinct 116,38.8464569157102,-76.9716388762588,2012-01-01T03:00:00.000Z,2012-01-01T03:19:00.000Z,312644889,12000187-01
12000203,2012-01-01T04:30:00.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF H STREET NE,401135,136927,6,6A,1,104,Cluster 25,008402 1,8402.0,Precinct 82,38.90019473529951,-76.98691546536499,2012-01-01T02:30:00.000Z,2012-01-01T02:35:00.000Z,312644890,12000203-01
12000214,2012-01-01T03:20:00.000Z,MIDNIGHT,OTHERS,BURGLARY,4300 - 4317 BLOCK OF FESSENDEN STREET NW,392685,142981,3,3E,2,202,Cluster 11,001001 2,1001.0,Precinct 31,38.9547013344174,-77.0843934581323,2011-12-31T19:15:00.000Z,2012-01-01T02:30:00.000Z,312644891,12000214-01
12000217,2012-01-01T03:27:00.000Z,MIDNIGHT,OTHERS,BURGLARY,800 - 899 BLOCK OF 51ST STREET NE,406321,136994,7,7C,6,608,Cluster 31,007809 1,7809.0,Precinct 94,38.9007763012698,-76.9271294923183,2011-12-31T23:45:00.000Z,2012-01-01T03:15:00.000Z,312644892,12000217-01
12000218,2012-01-01T05:00:00.000Z,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2000 - 2199 BLOCK OF DOUGLAS STREET NE,402187,139507,5,5C,5,502,Cluster 22,011100 3,11100.0,Precinct 72,38.9234342615989,-76.9747795567161,2011-12-31T23:30:00.000Z,2012-01-01T04:30:00.000Z,312644893,12000218-01
12000219,2012-01-01T04:51:00.000Z,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,5000 - 5099 BLOCK OF H STREET SE,406004,134532,7,7E,6,604,Cluster 33,007707 1,7707.0,Precinct 106,38.8785999109931,-76.930805481595,2012-01-01T04:40:00.000Z,2012-01-01T04:51:00.000Z,312644894,12000219-01
12000221,2012-01-01T04:51:00.000Z,MIDNIGHT,OTHERS,ROBBERY,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,397029,140633,1,1A,4,408,Cluster 2,002801 1,2801.0,Precinct 41,38.9335753185559,-77.0342663900524,2012-01-01T04:45:00.000Z,2012-01-01T04:51:00.000Z,312644895,12000221-01
12000247,2012-01-01T06:42:00.000Z,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,400 - 499 BLOCK OF 37TH PLACE SE,404344,135124,7,7F,6,603,Cluster 32,007703 3,7703.0,Precinct 107,38.883942643797695,-76.9499327978624,2012-01-01T06:40:00.000Z,2012-01-01T07:40:00.000Z,312644896,12000247-01
12000257,2012-01-01T08:34:00.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,T STREET NW AND 9TH STREET NW,397921,138633,1,1B,3,305,Cluster 3,004400 2,4400.0,Precinct 137,38.9155612466777,-77.02397234262259,2012-01-01T00:30:00.000Z,2012-01-01T08:34:00.000Z,312644897,12000257-01
12000261,2012-01-01T08:37:00.000Z,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 14TH STREET NW,397228,137120,2,2F,2,207,Cluster 8,010100 1,10100.0,Precinct 129,38.9019297101181,-77.0319570156848,2012-01-01T02:30:00.000Z,2012-01-01T03:00:00.000Z,312644898,12000261-01
12000264,2012-01-01T08:37:00.000Z,DAY,OTHERS,THEFT F/AUTO,17TH STREET NW AND KALORAMA ROAD NW,396627,139276,1,1C,3,303,Cluster 1,003800 2,3800.0,Precinct 24,38.9213495875012,-77.0388962368092,2011-12-31T21:30:00.000Z,2012-01-01T08:30:00.000Z,312644899,12000264-01
12000271,2012-01-01T08:58:00.000Z,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF PATTERSON STREET NE,399358,137621,6,6C,5,501,Cluster 25,010600 2,10600.0,Precinct 83,38.906447030626495,-77.007401768762,2011-12-31T18:00:00.000Z,2012-01-01T08:00:00.000Z,312644900,12000271-01
12000279,2012-01-01T09:40:00.000Z,DAY,OTHERS,BURGLARY,1300 - 1364 BLOCK OF D STREET NE,401110,136326,6,6A,1,108,Cluster 25,008001 3,8001.0,Precinct 81,38.8947807414114,-76.9872046420907,2011-12-25T13:30:00.000Z,2012-01-01T09:00:00.000Z,312644901,12000279-01
12000281,2012-01-01T09:50:00.000Z,DAY,OTHERS,THEFT F/AUTO,1600 - 1699 BLOCK OF KALORAMA ROAD NW,396731,139353,1,1C,3,304,Cluster 1,003800 2,3800.0,Precinct 24,38.9220436213246,-77.0376973125932,2012-01-01T08:00:00.000Z,2012-01-01T08:30:00.000Z,312644902,12000281-01
12000284,2012-01-01T08:03:00.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,F STREET NE AND 2ND STREET NE,399695,136609,6,6C,1,104,Cluster 25,010600 2,10600.0,Precinct 84,38.897330756510094,-77.00351596725379,2011-12-29T16:00:00.000Z,2012-01-01T07:00:00.000Z,312644903,12000284-01
12000285,2012-01-01T10:18:00.000Z,DAY,OTHERS,BURGLARY,1800 - 1822 BLOCK OF 3RD STREET NE,399823,138509,5,5E,5,502,Cluster 21,008702 2,8702.0,Precinct 75,38.914446654472094,-77.0020409034557,2011-12-30T11:00:00.000Z,2012-01-01T10:30:00.000Z,312644978,12000285-01
12000288,2012-01-01T09:41:00.000Z,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,3601 - 3638 BLOCK OF GEORGIA AVENUE NW,397912,140776,1,1A,4,409,Cluster 2,003100 1,3100.0,Precinct 43,38.9348660477186,-77.0240826377698,2012-01-01T02:00:00.000Z,2012-01-01T03:00:00.000Z,312644979,12000288-01
12000291,2012-01-01T11:00:00.000Z,DAY,OTHERS,THEFT/OTHER,200 - 399 BLOCK OF M STREET SW,398576,134292,6,6D,1,105,Cluster 9,011000 4,11000.0,Precinct 127,38.876457241504895,-77.01641073062461,2011-12-29T19:30:00.000Z,2011-12-29T19:30:00.000Z,312644980,12000291-01
12000297,2012-01-01T10:26:00.000Z,DAY,OTHERS,MOTOR VEHICLE THEFT,4500 - 4599 BLOCK OF EDSON PLACE NE,405486,136549,7,7D,6,602,Cluster 30,007803 2,7803.0,Precinct 98,38.8967731896269,-76.9367591897197,2011-12-31T20:00:00.000Z,2012-01-01T08:30:00.000Z,312644981,12000297-01
12000299,2012-01-01T10:16:00.000Z,DAY,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF ALBEMARLE STREET NW,393133,142225,3,3E,2,202,Cluster 11,001100 4,1100.0,Precinct 32,38.947894699929,-77.07921729756791,2012-01-01T09:15:00.000Z,2012-01-01T09:45:00.000Z,312644982,12000299-01
12000302,2012-01-01T11:06:00.000Z,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 10TH STREET NW,397745,137126,2,2C,2,209,Cluster 8,010100 1,10100.0,Precinct 129,38.9019852385792,-77.0259967986899,2012-01-01T10:45:00.000Z,2012-01-01T11:00:00.000Z,312644983,12000302-01
12000317,2012-01-01T11:34:00.000Z,DAY,OTHERS,THEFT F/AUTO,300 - 339 BLOCK OF 9TH STREET SE,400540,135274,6,6B,1,107,Cluster 26,006700 3,6700.0,Precinct 89,38.8853044665028,-76.9937760580452,2011-12-31T17:00:00.000Z,2012-01-01T11:00:00.000Z,312644984,12000317-01
12000324,2012-01-01T12:14:00.000Z,DAY,OTHERS,THEFT/OTHER,10 - 10 BLOCK OF THOMAS CIRCLE NW,397262,137555,2,2F,3,307,Cluster 8,005201 1,5201.0,Precinct 17,38.905848449638306,-77.0315667806576,2011-12-31T10:30:00.000Z,2012-01-01T01:00:00.000Z,312644985,12000324-01
12000325,2012-01-01T11:57:00.000Z,DAY,OTHERS,THEFT/OTHER,1300 - 1319 BLOCK OF CONGRESS STREET SE,401043,130465,8,8E,7,705,Cluster 38,007304 1,7304.0,Precinct 120,38.841982545882,-76.98798586604781,2012-01-01T08:00:00.000Z,2012-01-01T10:00:00.000Z,312644986,12000325-01
12000327,2012-01-01T11:19:00.000Z,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF PATTERSON STREET NE,399358,137621,6,6C,5,501,Cluster 25,010600 2,10600.0,Precinct 83,38.906447030626495,-77.007401768762,2012-01-01T00:30:00.000Z,2012-01-01T01:00:00.000Z,312644987,12000327-01
12000330,2012-01-01T12:32:00.000Z,DAY,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF NEW JERSEY AVENUE NW,398989,136542,6,6C,1,102,Cluster 8,005900 1,5900.0,Precinct 1,38.896726667725694,-77.01165446820231,2011-12-31T22:00:00.000Z,2012-01-01T08:00:00.000Z,312644988,12000330-01
12000336,2012-01-01T12:50:00.000Z,DAY,OTHERS,THEFT/OTHER,200 - 239 BLOCK OF 34TH STREET SE,403686,135484,7,7F,6,603,Cluster 32,007708 1,7708.0,Precinct 132,38.887188665505,-76.9575147097964,2012-01-01T00:01:00.000Z,2012-01-01T02:20:00.000Z,312644989,12000336-01
12005704,2012-01-12T12:37:00.000Z,DAY,OTHERS,THEFT F/AUTO,1300  - 1318 BLOCK OF GERANIUM STREET NW,397348,145719,4,4A,4,401,Cluster 16,001600 2,1600.0,Precinct 62,38.9793923608826,-77.0306068323063,2012-01-11T21:30:00.000Z,2012-01-12T12:30:00.000Z,312645991,12005704-01
12005705,2012-01-12T12:48:00.000Z,DAY,OTHERS,THEFT/OTHER,1222 - 1299 BLOCK OF 1ST STREET NE,399489,137664,6,6C,5,501,Cluster 25,010600 2,10600.0,Precinct 83,38.906834475497504,-77.0058914709984,2012-01-11T13:00:00.000Z,2012-01-11T13:10:00.000Z,312645992,12005705-01
